819827	Razvilka	55.591667	37.740833	RU
524901	Moscow	55.752220	37.615555	RU
2973393	Tarascon	43.805828	4.660280	FR
2986678	Ploufragan	48.491409	-2.794580	FR
685948	Bacau	46.5667	26.9	RO
679452	Deva	45.8833	45.8833	RO
3173435	Milano	45.4643	9.1895	IT
3169070	Rome	41.8947	12.4839	IT
3117735	Madrid	40.4165	-3.7026	ES
3128760	Barcelona	41.3888	2.159	ES
2735943	Porto	41.1496	-8.611	PT
2267057	Lisbon	38.7167	-9.1333	PT
2643741	City of London	51.5128	-0.0918	GB
2637487	Southampton	50.904	-1.4043	GB
292223	Dubai	25.2582	55.3047	AE
292968	Abu Dhabi	24.4667	54.3667	AE
258438	Lefkada	38.8275	20.7019	GR
251280	Zakynthos	37.7914	20.8953	GR
727011	Sofia	42.6975	23.3242	BG
726050	Varna	43.2167	27.9167	BG
